327952,37286,0
57357,64489,0
133731,33756,0
204395,25003,1
50607,204522,1
397208,26415,0
202960,203019,0
125264116,16243,0
884982004,16243,0
2147483647,47886,0
819003636,16243,0
5,58766,0
47551,50297,0
263459,55286,1
263459,12327,0
263459,2527,1
263459,19531,1
263459,200557,0
263459,36114,0
3356,4812,0
17850,3786,1
31163,3292,1
267286,16397,1
267286,15133,0
267286,34762,1
267286,52980,0
267286,18191,1
7,3,0
7,2,0
263459,19710,0
395839,49335,0
262820,12327,0
262820,20473,1
65540,137255,0
134939,135776,0
205550,16322,0
134190,45785,0
60274,266563,0
41095,21321,0
9299,14618,0
7,5,0
3266,48347,0
136038,41095,1
6453,55470,0
10,2,0
204472,134450,0
206066,197140,1
206066,8732,1
3549,393612,1
1759,8387,1
50607,206412,1
203669,20764,1
38333,201011,1
286,203661,1
8455,203661,1
133217,7377,1
29614,37577,0
50607,32475,1
4809,41095,1
3130,203993,1
9198,49393,0
60274,21287,0
136162,206819,0
21277,201145,1
52547,266128,0
54600,21287,0
63969,134971,0
51167,7321,1
135330,41095,1
37447,7018,1
266563,60274,0
30541,46450,1
136162,131610,0
64018,137550,0
55644,35994,1
6453,132233,0
3549,8851,1
2147483647,8402,1
15701,206751,0
262713,266117,0
6453,133541,0
28191,4668,1
42962,174,0
59703,202663,0
203684,48309,0
36882,49906,0
48964,4812,1
47481,34892,0
198949,1273,1
41717,41095,1
263817,27773,1
24875,21100,0
50607,205685,1
3549,41107,1
577,6062,1
56630,198412,1
29802,51430,0
7979,48838,0
49623,22773,0
64280,209,1
37282,7018,1
2647,22723,1
263314,265440,0
54044,28110,0
9394,131577,0
58678,134939,0
12824,206499,1
12824,204444,0
44963,50727,0
199610,7377,1
198949,19963,1
62240,54543,0
262589,21928,1
50607,4808,1
4637,4768,0
63150,395926,0
24532,5650,1
5066,9002,1
328239,198949,1
55002,327738,0
3356,263876,0
57129,31732,1
135739,134014,0
205450,60274,0
262993,267313,0
15463,6468,1
9498,16276,1
134190,23678,0
134190,56229,0
60476,205830,0
64293,46887,1
39216,202699,0
266776,264777,0
131199,57129,0
3356,267275,0
3549,11807,1
32494,63150,0
204373,200966,0
39536,43151,0
47285,44685,0
267386,28216,1
267386,13335,1
135663,55933,0
3356,29649,0
3549,29649,0
52739,7018,1
49319,44546,1
3356,25588,0
3549,25588,0
10617,7162,1
3462,59077,0
201224,35994,1
205590,394144,1
725598452,21371,0
133658,134939,0
32361,11537,1
17483,134907,0
28191,12638,1
133255,132566,0
204650,197343,0
49453,25780,0
39582,21928,1
6453,203925,0
395111,205789,0
6453,12765,0
56687,61391,0
9808,132905,0
50607,50016,1
50607,199899,1
15347,9557,1
59117,35916,1
265494,52973,0
32098,35994,1
262243,52468,0
49084,49981,1
133199,41095,1
8447,18880,1
132116,134264,0
133989,136663,0
30985,21928,1
3266,30860,0
26484,136251,0
134058,136647,0
63199,9318,1
5607,6659,1
28368,265159,1
